Disease,Common disease group,Symptoms,Disease Group,Dosha Types
Retinal detachment (tractional),Eye diseases,gradual vision loss; floaters; blurred vision; photopsia; scotomas; shadow across vision; distortion,Eye diseases (Retinal disorder),vata
Retinal detachment (exudative/serous),Eye diseases,"blurred vision; scotoma; metamorphopsia; photopsia; floaters; vision loss (painless, non-tear related)",Eye diseases (Retinal disorder),vata
Retinitis pigmentosa,Eye diseases,night blindness; peripheral vision loss; tunnel vision; photopsia; progressive central vision loss (later); color vision loss,Eye diseases (Inherited retinal dystrophy),vata
Retinopathy of prematurity (ROP),Eye diseases,abnormal retinal vascularization; leukocoria; strabismus; nystagmus; poor visual response; blindness (advanced),Eye diseases (Neonatal retinal disorder),vata
Scleritis,Eye diseases,severe boring eye pain (radiating to head/face); redness (deep vessels); tearing; photophobia; blurred vision; tenderness; systemic autoimmune association,Eye diseases (Scleral inflammation),pitta
"Strabismus (esotropia, exotropia)",Eye diseases,misaligned eyes; diplopia; squinting; head tilt; poor depth perception; reduced visual acuity; amblyopia in children,Eye diseases (Ocular alignment disorder),vata
Stargardt disease,Eye diseases,progressive central vision loss; blurred vision; impaired color vision; scotomas; difficulty reading; photophobia,Eye diseases (Inherited macular dystrophy),vata
Stevens-Johnson syndrome (ocular involvement),Eye diseases,conjunctival redness; severe pain; photophobia; tearing; mucous discharge; eyelid swelling; corneal ulceration; scarring; blindness (severe),Eye diseases (Ocular surface/inflammatory),pitta
Uveal melanoma,Eye diseases,dark intraocular lesion; blurred vision; floaters; photopsia; visual field loss; eye pain; secondary glaucoma,Eye diseases (Ocular tumor),pitta
"Uveitis (anterior, intermediate, posterior, panuveitis)",Eye diseases,eye pain; redness; blurred vision; photophobia; floaters; headache; decreased vision; tearing,Eye diseases (Uveal inflammation),pitta
Vitreous hemorrhage,Eye diseases,sudden floaters; blurred vision; scotomas; red haze; photopsia; sudden vision loss (severe),Eye diseases (Retinal/vitreous disorder),vata
Wet (neovascular) AMD,Eye diseases,sudden central vision distortion; metamorphopsia; blurred vision; scotoma; impaired color vision; difficulty reading; visual hallucinations,Eye diseases (Retinal disorder),pitta
Xerophthalmia,Eye diseases,dry eyes; conjunctival xerosis; Bitot’s spots; corneal ulceration; night blindness; keratomalacia; photophobia,Eye diseases (Vitamin A deficiency),vata
"Viral retinitis (e.g., CMV retinitis)",Eye diseases,blurred vision; floaters; scotomas; photopsia; eye pain; redness; vision loss; retinal hemorrhages; necrosis,Eye diseases (Infectious retinal disorder),pitta
Ocular hypotony,Eye diseases,blurred vision; photopsia; floaters; shallow anterior chamber; hypotony maculopathy (wrinkling); eye pain (sometimes); vision loss,Eye diseases (Ocular pressure disorder),vata
Chorioretinitis,Eye diseases,blurred vision; floaters; photophobia; scotomas; eye pain; redness; tearing; vision loss; headache (sometimes),Eye diseases (Retinal/choroidal inflammation),pitta
Choroidal neovascularization,Eye diseases,central vision loss; distortion; scotoma; blurred vision; metamorphopsia; photopsia,Eye diseases (Retinal vascular disorder),pitta
Central serous retinopathy,Eye diseases,blurred central vision; scotoma; metamorphopsia; micropsia; color vision changes; visual distortion; photopsia,Eye diseases (Retinal disorder),pitta
Optic disc edema,Eye diseases,blurred vision; transient visual obscurations; headache; nausea; vomiting; diplopia; pulsatile tinnitus; enlarged blind spot,Eye diseases (Optic nerve swelling),vata
Retrobulbar neuritis,Eye diseases,sudden vision loss; eye pain (with movement); central scotoma; color vision loss; photopsia; afferent pupillary defect,Eye diseases (Optic nerve inflammation),pitta
Anterior ischemic optic neuropathy (AION),Eye diseases,sudden painless vision loss; altitudinal visual field defect; blurred vision; headache (in arteritic); scalp tenderness; jaw claudication,Eye diseases (Optic neuropathy/vascular),vata
Microphthalmia / nanophthalmos,Eye diseases,abnormally small eye; reduced vision; high hyperopia; nystagmus; strabismus; cataract; glaucoma risk,Eye diseases (Congenital malformation),vata
Ocular hypertension,Eye diseases,elevated intraocular pressure; usually asymptomatic; halos; blurred vision; risk of glaucoma,Eye diseases (Ocular pressure disorder),pitta
Pseudotumor orbital (orbital inflammatory disease),Eye diseases,painful eye swelling; proptosis; double vision; redness; restricted movement; blurred vision; headache; fever,Eye diseases (Orbital inflammation),pitta
Posterior vitreous detachment,Eye diseases,flashes of light; floaters; cobwebs in vision; blurred vision; scotomas; vision loss if associated with retinal tear,Eye diseases (Vitreous disorder),vata
Phthisis bulbi,Eye diseases,shrunken eye; blindness; pain (sometimes); corneal opacity; disfigurement; hypotony signs,Eye diseases (End-stage ocular disease),vata
Progressive cone/rod dystrophy,Eye diseases,night blindness; photophobia; central and peripheral vision loss; scotomas; color vision defects; progressive visual impairment,Eye diseases (Inherited retinal dystrophy),vata
Sympathetic ophthalmia,Eye diseases,bilateral blurred vision; photophobia; redness; floaters; pain; scotomas; headache; tearing; vision loss,Eye diseases (Autoimmune uveitis),pitta
Vitreomacular traction syndrome,Eye diseases,blurred central vision; metamorphopsia; floaters; scotomas; visual distortion; glare sensitivity,Eye diseases (Retinal/vitreous disorder),vata
Albinotic fundus abnormalities,Eye diseases,reduced visual acuity; photophobia; nystagmus; strabismus; foveal hypoplasia; impaired depth perception,Eye diseases (Genetic pigment disorder),vata
Corneal ectasia,Eye diseases,progressive blurred vision; irregular astigmatism; glare; halos; frequent prescription changes; corneal thinning; photophobia,Eye diseases (Corneal disorder),vata
Congenital glaucoma,Eye diseases,tearing; photophobia; corneal clouding; blepharospasm; enlarged cornea; irritability; poor vision,Eye diseases (Pediatric glaucoma),vata
Lens subluxation/dislocation (ectopia lentis),Eye diseases,blurred vision; monocular diplopia; fluctuating vision; astigmatism; glare; halos; high myopia; cataract (secondary),Eye diseases (Lens disorder),vata
Congenital ptosis,Eye diseases,drooping eyelid; impaired vision (amblyopia risk); abnormal head posture; reduced visual field; eye strain,Eye diseases (Congenital eyelid disorder),vata
Ocular toxoplasmosis,Eye diseases,blurred vision; floaters; eye pain; photophobia; scotomas; redness; vision loss; headache,Eye diseases (Infectious chorioretinitis),pitta
Episcleritis,Eye diseases,redness; mild discomfort; foreign body sensation; tearing; photophobia (mild); usually self-limited; no severe pain,Eye diseases (Scleral inflammation),pitta
Neurotrophic keratitis,Eye diseases,decreased corneal sensation; persistent epithelial defects; ulceration; blurred vision; foreign body sensation; dryness; scarring,Eye diseases (Corneal disorder/neuropathy),vata
Limbal stem cell deficiency,Eye diseases,recurrent epithelial defects; photophobia; tearing; pain; redness; persistent epithelial haze; vascularization; progressive vision loss,Eye diseases (Ocular surface disorder),pitta
Ocular siderosis,Eye diseases,blurred vision; photophobia; heterochromia; glaucoma; cataract; retinal degeneration; night blindness,Eye diseases (Foreign body/toxic injury),pitta
Vogt–Koyanagi–Harada (VKH) disease,Eye diseases,bilateral blurred vision; photophobia; eye pain; redness; floaters; metamorphopsia; central scotoma; serous retinal detachment; headache; tinnitus; hearing loss; vertigo; alopecia; poliosis (whitening of eyelashes/hair); vitiligo; meningismus (neck stiffness; nausea; fever); dizziness; fatigue,Eye diseases (Autoimmune uveitis/Multisystem disorder),pitta
Paraneoplastic retinopathy,Eye diseases,progressive vision loss; photopsia; scotomas; night blindness; glare; color vision loss; associated systemic malignancy,Eye diseases (Autoimmune retinal disorder),pitta
Acute otitis media,Ear diseases,ear pain; fever; irritability; hearing loss; ear fullness; drainage (if perforated); headache; nausea; vomiting,Ear diseases (Middle ear infection),pitta
Chronic otitis media,Ear diseases,persistent ear discharge; hearing loss; ear fullness; tinnitus; dizziness; balance problems; ear pain (less common),Ear diseases (Chronic middle ear infection),pitta
Otitis media with effusion (glue ear),Ear diseases,hearing loss; ear fullness; popping or crackling; delayed speech (children); imbalance; no acute pain or fever,Ear diseases (Middle ear disorder),kapha
Recurrent otitis media,Ear diseases,repeated episodes of ear pain; fever; irritability; hearing loss; drainage; disturbed sleep,Ear diseases (Middle ear infection),pitta
Cholesteatoma,Ear diseases,chronic ear discharge (foul smelling); hearing loss; ear fullness; dizziness; tinnitus; ear pain; facial weakness (advanced),Ear diseases (Middle ear growth),pitta
Otosclerosis,Ear diseases,progressive hearing loss; tinnitus; dizziness (rare); difficulty hearing low-pitched sounds; family history,Ear diseases (Middle ear/ossicular disorder),vata
Meniere’s disease,Ear diseases,recurrent vertigo; fluctuating hearing loss; tinnitus; ear fullness; nausea; imbalance,Ear diseases (Inner ear disorder),vata
Labyrinthitis,Ear diseases,sudden vertigo; hearing loss; tinnitus; nausea; vomiting; imbalance; difficulty focusing,Ear diseases (Inner ear infection),pitta
Vestibular neuritis,Ear diseases,sudden severe vertigo; nausea; vomiting; imbalance; no hearing loss; spontaneous nystagmus,Ear diseases (Vestibular disorder),vata
Benign paroxysmal positional vertigo (BPPV),Ear diseases,brief vertigo with head movements; nausea; imbalance; dizziness; nystagmus triggered by position,Ear diseases (Vestibular disorder),vata
Acoustic neuroma (vestibular schwannoma),Ear diseases,unilateral hearing loss; tinnitus; imbalance; vertigo (rare); facial numbness; headache (large tumors),Ear diseases (Vestibular/nerve tumor),vata
Barotrauma of the ear,Ear diseases,ear pain; hearing loss; dizziness; tinnitus; ear fullness; bloody discharge (if severe); vertigo,Ear diseases (Trauma),vata
Eustachian tube dysfunction,Ear diseases,ear fullness; popping sensation; muffled hearing; tinnitus; ear pain; imbalance,Ear diseases (Middle ear/pressure disorder),vata
Mastoiditis,Ear diseases,ear pain; swelling behind ear; fever; hearing loss; drainage; redness; headache; irritability,Ear diseases (Middle ear/mastoid infection),pitta
Temporal bone fracture (otic capsule sparing),Ear diseases,hearing loss (conductive); ear pain; bloody ear discharge; dizziness; facial weakness (possible); imbalance,Ear diseases (Trauma),vata
Temporal bone fracture (otic capsule violating),Ear diseases,severe hearing loss (sensorineural); vertigo; facial paralysis; CSF otorrhea; ear pain; imbalance,Ear diseases (Trauma),vata
Congenital aural atresia,Ear diseases,absent ear canal; hearing loss; abnormal ear shape; speech delay; imbalance (rare),Ear diseases (Congenital malformation),vata
Microtia,Ear diseases,small or absent external ear; hearing loss (conductive); cosmetic deformity; speech delay,Ear diseases (Congenital malformation),vata
Preauricular sinus/cyst,Ear diseases,small pit or swelling near ear; recurrent infections; pain; discharge; swelling; redness,Ear diseases (Congenital anomaly),pitta
Ear canal cholesteatoma,Ear diseases,chronic ear discharge; hearing loss; ear fullness; pain; itching; dizziness (rare),Ear diseases (External canal growth),pitta
External auditory canal stenosis,Ear diseases,hearing loss; ear fullness; recurrent infections; tinnitus; trapped cerumen,Ear diseases (Congenital/acquired narrowing),vata
Otitis externa (swimmer’s ear),Ear diseases,ear pain; itching; redness; swelling; discharge; hearing loss; tenderness on touching ear,Ear diseases (External ear infection),pitta
Malignant otitis externa,Ear diseases,severe ear pain; foul discharge; hearing loss; cranial nerve palsies (late); fever; swelling; headache,"Ear diseases (External ear infection, invasive)",pitta
Fungal otitis externa (otomycosis),Ear diseases,itching; ear pain; discharge (thick/black/white); hearing loss; ear fullness; odor; redness,Ear diseases (Fungal infection),pitta
Bullous myringitis,Ear diseases,sudden severe ear pain; hearing loss; fever; vesicles on tympanic membrane; drainage if ruptured,Ear diseases (Middle ear infection),pitta
Tympanic membrane perforation,Ear diseases,ear pain (sudden relief if rupture); hearing loss; discharge; tinnitus; vertigo (sometimes),Ear diseases (Middle ear/trauma),vata
Tympanosclerosis,Ear diseases,hearing loss; ear fullness; tinnitus; usually painless; white patches on tympanic membrane,Ear diseases (Middle ear disorder),kapha
Hemotympanum,Ear diseases,hearing loss; ear fullness; ear pain; bruising behind ear; dizziness; blood behind eardrum,Ear diseases (Trauma/bleeding),vata
Glomus tympanicum tumor,Ear diseases,pulsatile tinnitus; hearing loss; ear fullness; ear pain; visible red mass behind tympanic membrane,Ear diseases (Middle ear tumor),pitta
Glomus jugulare tumor,Ear diseases,pulsatile tinnitus; hearing loss; dizziness; hoarseness; dysphagia; cranial nerve palsies; visible mass in ear canal,Ear diseases (Skull base tumor),pitta
Superior semicircular canal dehiscence syndrome,Ear diseases,vertigo (sound/pressure induced); hearing loss; autophony; tinnitus; imbalance; oscillopsia,Ear diseases (Inner ear/vestibular disorder),vata
Perilymphatic fistula,Ear diseases,vertigo; hearing loss; tinnitus; ear fullness; imbalance; nausea; worsened by exertion/pressure changes,Ear diseases (Inner ear/trauma),vata
