Disease,Common disease group,Symptoms,Disease Group,Dosha Types,symptoms_clean,dosha_clean
Hemorrhagic stroke,Cardiovascular diseases,sudden severe “worst” headache; vomiting; decreased consciousness; neck stiffness (subarachnoid); focal neurological deficits; seizures; photophobia; abrupt neurologic decline,Cerebrovascular disease,pitta,sudden severe worst headache vomiting decreased consciousness neck stiffness subarachnoid focal neurological deficits seizures photophobia abrupt neurologic decline,pitta
Transient ischemic attack,Cardiovascular diseases,transient focal neurological symptoms (weakness; numbness; vision loss; slurred speech) resolving within minutes to hours; dizziness; imbalance; amaurosis fugax,Cerebrovascular disease,vata,transient focal neurological symptoms weakness numbness vision loss slurred speech resolving within minutes to hours dizziness imbalance amaurosis fugax,vata
Carotid artery stenosis,Cardiovascular diseases,transient monocular blindness (amaurosis fugax); TIAs; stroke-like symptoms (contralateral weakness; aphasia); bruit in neck; dizziness; imbalance,Cerebrovascular/occlusive disease,vata,transient monocular blindness amaurosis fugax tias stroke like symptoms contralateral weakness aphasia bruit in neck dizziness imbalance,vata
Cerebral aneurysm,Cardiovascular diseases,often asymptomatic until rupture; sentinel headache; cranial nerve palsies (compression); visual changes; focal deficits; sudden severe headache with rupture; neck stiffness; photophobia; vomiting,Cerebrovascular/aneurysmal,pitta,often asymptomatic until rupture sentinel headache cranial nerve palsies compression visual changes focal deficits sudden severe headache with rupture neck stiffness photophobia vomiting,pitta
Cerebral arteriovenous malformation,Cardiovascular diseases,headaches; seizures; focal neurological deficits; pulsatile tinnitus; visual disturbances; intracranial hemorrhage symptoms (sudden severe headache; vomiting),Cerebrovascular malformation,pitta,headaches seizures focal neurological deficits pulsatile tinnitus visual disturbances intracranial hemorrhage symptoms sudden severe headache vomiting,pitta
Peripheral artery disease,Cardiovascular diseases,exertional calf or thigh or buttock claudication; leg pain at rest (critical); numbness; cold feet; diminished pulses; non-healing wounds; color changes; hair loss on legs; erectile dysfunction (Leriche),Peripheral arterial disease,vata,exertional calf or thigh or buttock claudication leg pain at rest critical numbness cold feet diminished pulses non healing wounds color changes hair loss on legs erectile dysfunction leriche,vata
Abdominal aortic aneurysm,Cardiovascular diseases,often asymptomatic; pulsatile abdominal mass; abdominal or back pain; tenderness; limb ischemia (embolization); hypotension and sudden severe pain if rupture,Aortic aneurysm,pitta,often asymptomatic pulsatile abdominal mass abdominal or back pain tenderness limb ischemia embolization hypotension and sudden severe pain if rupture,pitta
Thoracic aortic aneurysm,Cardiovascular diseases,chest or back pain; cough; hoarseness (recurrent laryngeal nerve); dysphagia; shortness of breath; signs of aortic regurgitation; sudden severe pain and shock if rupture,Aortic aneurysm,pitta,chest or back pain cough hoarseness recurrent laryngeal nerve dysphagia shortness of breath signs of aortic regurgitation sudden severe pain and shock if rupture,pitta
Aortic dissection,Cardiovascular diseases,sudden tearing chest or back pain migrating; differential arm blood pressures; syncope; stroke symptoms; acute aortic regurgitation; limb ischemia; abdominal pain; shock,Aortic syndrome,vata,sudden tearing chest or back pain migrating differential arm blood pressures syncope stroke symptoms acute aortic regurgitation limb ischemia abdominal pain shock,vata
Deep vein thrombosis,Cardiovascular diseases,unilateral leg swelling; pain or tenderness (calf); warmth; redness; dilated superficial veins; low-grade fever; Homan sign (non-specific),Venous thromboembolism,kapha,unilateral leg swelling pain or tenderness calf warmth redness dilated superficial veins low grade fever homan sign non specific,kapha
Pulmonary embolism,Cardiovascular diseases,sudden dyspnea; pleuritic chest pain; tachycardia; tachypnea; cough; hemoptysis; syncope; anxiety; low-grade fever; signs of DVT; hypotension (massive PE),Venous thromboembolism,vata,sudden dyspnea pleuritic chest pain tachycardia tachypnea cough hemoptysis syncope anxiety low grade fever signs of dvt hypotension massive pe,vata
Chronic venous insufficiency,Cardiovascular diseases,leg swelling worse by day; aching or heaviness; pruritus; skin discoloration (hyperpigmentation); varicosities; venous stasis dermatitis; ulceration near medial malleolus; cramps,Venous disease,kapha,leg swelling worse by day aching or heaviness pruritus skin discoloration hyperpigmentation varicosities venous stasis dermatitis ulceration near medial malleolus cramps,kapha
Varicose veins,Cardiovascular diseases,visible dilated tortuous superficial veins; leg aching or heaviness; itching; swelling; cramps at night; cosmetic concern; worse with standing; relief on elevation,Venous disease,kapha,visible dilated tortuous superficial veins leg aching or heaviness itching swelling cramps at night cosmetic concern worse with standing relief on elevation,kapha
Raynaud phenomenon,Cardiovascular diseases,episodic triphasic color changes of fingers/toes (white-blue-red) with cold or stress; numbness; tingling; pain; ulcers in severe cases,Vasospastic disorder,vata,episodic triphasic color changes of fingers toes white blue red with cold or stress numbness tingling pain ulcers in severe cases,vata
Buerger disease (thromboangiitis obliterans),Cardiovascular diseases,distal extremity ischemic pain; claudication in feet/hands; rest pain; ulcerations; gangrene; Raynaud features; superficial thrombophlebitis; cold sensitivity,Inflammatory vasculitis,pitta,distal extremity ischemic pain claudication in feet hands rest pain ulcerations gangrene raynaud features superficial thrombophlebitis cold sensitivity,pitta
Takayasu arteritis,Cardiovascular diseases,limb claudication; diminished pulses (“pulseless”); blood pressure discrepancies; bruits; fever; malaise; night sweats; weight loss; headache; visual symptoms; hypertension (renal),Large-vessel vasculitis,pitta,limb claudication diminished pulses pulseless blood pressure discrepancies bruits fever malaise night sweats weight loss headache visual symptoms hypertension renal,pitta
Giant cell (temporal) arteritis,Cardiovascular diseases,new headache (temporal); scalp tenderness; jaw claudication; visual loss or diplopia; fever; fatigue; polymyalgia rheumatica symptoms; elevated inflammatory markers,Large-vessel vasculitis,pitta,new headache temporal scalp tenderness jaw claudication visual loss or diplopia fever fatigue polymyalgia rheumatica symptoms elevated inflammatory markers,pitta
Kawasaki disease,Cardiovascular diseases,prolonged fever in child; conjunctival injection (non-purulent); oral changes (strawberry tongue; cracked lips); rash; cervical lymphadenopathy; swelling/redness of hands/feet; irritability; coronary aneurysms (complication),Medium-vessel vasculitis,pitta,prolonged fever in child conjunctival injection non purulent oral changes strawberry tongue cracked lips rash cervical lymphadenopathy swelling redness of hands feet irritability coronary aneurysms complication,pitta
Polyarteritis nodosa,Cardiovascular diseases,systemic symptoms (fever; weight loss; malaise); abdominal pain after meals; neuropathy (mononeuritis multiplex); skin nodules/purpura; hypertension; renal impairment (without glomerulonephritis); testicular pain,Medium-vessel vasculitis,pitta,systemic symptoms fever weight loss malaise abdominal pain after meals neuropathy mononeuritis multiplex skin nodules purpura hypertension renal impairment without glomerulonephritis testicular pain,pitta
Behçet disease,Cardiovascular diseases,recurrent oral aphthous ulcers; genital ulcers; uveitis; skin lesions (erythema nodosum-like); arthralgia; pathergy; vascular thrombosis/aneurysms; neurologic symptoms,Variable-vessel vasculitis,pitta,recurrent oral aphthous ulcers genital ulcers uveitis skin lesions erythema nodosum like arthralgia pathergy vascular thrombosis aneurysms neurologic symptoms,pitta
Rheumatic heart disease,Cardiovascular diseases,exertional dyspnea; palpitations; chest discomfort; fatigue; signs of valvular disease (often mitral stenosis); edema; history of rheumatic fever (migratory arthritis; carditis; chorea),Post-inflammatory valvular disease,vata,exertional dyspnea palpitations chest discomfort fatigue signs of valvular disease often mitral stenosis edema history of rheumatic fever migratory arthritis carditis chorea,vata
Infective endocarditis,Cardiovascular diseases,fever; chills; night sweats; fatigue; new or changing heart murmur; embolic phenomena (stroke; splinter hemorrhages); petechiae; Janeway lesions; Osler nodes; hematuria; weight loss,Endocardial infection,pitta,fever chills night sweats fatigue new or changing heart murmur embolic phenomena stroke splinter hemorrhages petechiae janeway lesions osler nodes hematuria weight loss,pitta
Non-bacterial thrombotic endocarditis,Cardiovascular diseases,often asymptomatic until embolic events; stroke or limb ischemia; weight loss; signs of underlying malignancy or hypercoagulable state; new murmur (sometimes),Endocardial thrombotic,vata,often asymptomatic until embolic events stroke or limb ischemia weight loss signs of underlying malignancy or hypercoagulable state new murmur sometimes,vata
Mitral stenosis,Cardiovascular diseases,exertional dyspnea; orthopnea; paroxysmal nocturnal dyspnea; fatigue; hemoptysis; palpitations (AF); chest discomfort; hoarseness (Ortner); edema; right-sided heart failure signs (late),Valvular heart disease,vata,exertional dyspnea orthopnea paroxysmal nocturnal dyspnea fatigue hemoptysis palpitations af chest discomfort hoarseness ortner edema right sided heart failure signs late,vata
Mitral regurgitation,Cardiovascular diseases,exertional dyspnea; fatigue; palpitations; orthopnea; PND; blowing holosystolic murmur (apex to axilla); edema (late); atrial fibrillation,Valvular heart disease,vata,exertional dyspnea fatigue palpitations orthopnea pnd blowing holosystolic murmur apex to axilla edema late atrial fibrillation,vata
